201701050TOR|Aaron Smith
201701050TOR|Tom Washington
201511180UTA|Kane Fitzgerald
201511180UTA|Jason Phillips
201511180UTA|Dedric Taylor
201601180CHO|Mark Lindsay
201601180CHO|Jason Phillips
201601180CHO|Leon Wood
201602240MIA|Tony Brothers
201602240MIA|Tony Brown
201602240MIA|Tre Maddox
201505090WAS|Joe Crawford
201505090WAS|Bennett Salvatore
201505090WAS|Zach Zarba
201701140PHO|Nick Buchert
201701140PHO|Dan Crawford
201701140PHO|Marat Kogut
201511140GSW|Mitchell Ervin
201511140GSW|Monty McCutchen
201511140GSW|James Williams
201504100DET|Brent Barnaky
201504100DET|Monty McCutchen
201504100DET|Eli Roe
201611130OKC|Brent Barnaky
201611130OKC|Curtis Blair
201611130OKC|James Capers
201612290CHO|Curtis Blair
201612290CHO|Kevin Scott
201612290CHO|Zach Zarba
201602060IND|Curtis Blair
201602060IND|Nick Buchert
201602060IND|Zach Zarba
201612030CHO|Marc Davis
201612030CHO|Scott Twardoski
201612030CHO|Gary Zielinski
201510280SAC|Lauren Holtkamp
201510280SAC|Courtney Kirkland
201510280SAC|Sean Wright
201503310LAC|Scott Foster
201503310LAC|David Guthrie
201503310LAC|Karl Lane
201512120CHI|Eric Dalen
201512120CHI|Monty McCutchen
201512120CHI|Leroy Richardson
201611020BOS|Marat Kogut
201611020BOS|Ken Mauer
201611020BOS|Gary Zielinski
201601130BOS|Tony Brothers
201601130BOS|Scott Wall
201601130BOS|Leon Wood
201612090MIL|Karl Lane
201612090MIL|Dedric Taylor
201612090MIL|Sean Wright
201602040PHO|Derrick Collins
201602040PHO|Marat Kogut
201602040PHO|Derrick Stafford
201512180CHI|Steve Anderson
201512180CHI|James Capers
201512180CHI|Gary Zielinski
201504130LAC|Bennie Adams
201504130LAC|Kevin Scott
201504130LAC|Ben Taylor
201512220MIA|Eric Lewis
201512220MIA|Aaron Smith
201512220MIA|Bill Spooner
201503250DEN|Kevin Cutler
201503250DEN|Eric Lewis
201503250DEN|Ed Malloy
201512010POR|Marat Kogut
201512010POR|Ken Mauer
201512010POR|Michael Smith
201612010UTA|Courtney Kirkland
201612010UTA|Ed Malloy
201612010UTA|Gediminas Petraitis
201610280TOR|Ken Mauer
201610280TOR|Michael Smith
201610280TOR|Josh Tiven
201603310HOU|Kevin Cutler
201603310HOU|Rodney Mott
201603310HOU|Bill Spooner
201603180LAL|Pat Fraher
201603180LAL|David Jones
201603180LAL|Derek Richardson
201503180MIA|Kane Fitzgerald
201503180MIA|Ed Malloy
201503180MIA|Justin Van Duyne
201601220ORL|Kevin Cutler
201601220ORL|Scott Foster
201601220ORL|David Jones
201601080PHO|Brent Barnaky
201601080PHO|Marc Davis
201601080PHO|Ben Taylor
201511300CHI|Matt Boland
201511300CHI|Leon Wood
201511300CHI|Zach Zarba
201603250WAS|Mike Callahan
201603250WAS|Josh Tiven
201603250WAS|Justin Van Duyne
201601120LAL|James Capers
201601120LAL|J.T. Orr
201601120LAL|Leroy Richardson
201512070CHI|Mark Ayotte
201512070CHI|Tony Brothers
201512070CHI|Eli Roe
201612180WAS|Mike Callahan
201612180WAS|Marat Kogut
201612180WAS|James Williams
201512020DET|Derrick Collins
201512020DET|Courtney Kirkland
201512020DET|Justin Van Duyne
201504230MIL|Brian Forte
201504230MIL|Ed Malloy
201504230MIL|Ken Mauer
201604100NYK|Bill Kennedy
201604100NYK|Eric Lewis
201604100NYK|Leon Wood
201610280OKC|Leroy Richardson
201610280OKC|Justin Van Duyne
201610280OKC|Zach Zarba
201612170MIN|Eric Dalen
201612170MIN|Kevin Scott
201612170MIN|Bill Spooner
201611140UTA|Dan Crawford
201611140UTA|Kevin Scott
201611140UTA|C.J. Washington
201610290SAC|Tony Brothers
201610290SAC|Ron Garretson
201610290SAC|Lauren Holtkamp
201512250HOU|Derrick Collins
201512250HOU|Jason Phillips
201512250HOU|Gary Zielinski
201604100PHI|Steve Anderson
201604100PHI|Kevin Scott
201604100PHI|Derrick Stafford
201511110DAL|Dan Crawford
201511110DAL|Josh Tiven
201511110DAL|Leon Wood
201701070CHI|Bennie Adams
201701070CHI|Derrick Collins
201701070CHI|Mitchell Ervin
201511040HOU|Scott Foster
201511040HOU|Mark Lindsay
201511040HOU|Brett Nansel
201603190SAS|Dan Crawford
201603190SAS|Eric Lewis
201603190SAS|Ben Taylor
201601120MIL|Michael Smith
201601120MIL|Dedric Taylor
201601120MIL|Josh Tiven
201503040MIA|Nick Buchert
201503040MIA|Dan Crawford
201503040MIA|Dedric Taylor
201604110NOP|Nick Buchert
201604110NOP|Scott Foster
201604110NOP|Derek Richardson
201611190NOP|Curtis Blair
201611190NOP|Tony Brown
201611190NOP|Eric Lewis
201512010BRK|Eric Lewis
201512010BRK|Mark Lindsay
201512010BRK|Tre Maddox
201601260LAL|Kevin Cutler
201601260LAL|Kane Fitzgerald
201601260LAL|Sean Wright
201603070NOP|Mike Callahan
201603070NOP|Eric Dalen
201603070NOP|Justin Van Duyne
201602050UTA|David Jones
201602050UTA|Monty McCutchen
201602050UTA|J.T. Orr
201701170LAL|Marat Kogut
201701170LAL|Ed Malloy
201701170LAL|Josh Tiven
201601260MIL|Bennie Adams
201601260MIL|John Goble
201601260MIL|Lauren Holtkamp
201611040NOP|Mitchell Ervin
201611040NOP|Derrick Stafford
201611040NOP|James Williams
201504180TOR|Monty McCutchen
201504180TOR|Derrick Stafford
201504180TOR|Josh Tiven
201604270MIA|Kane Fitzgerald
201604270MIA|Jason Phillips
201604270MIA|Derrick Stafford
201603110MEM|Eric Lewis
201603110MEM|Eli Roe
201603110MEM|Sean Wright
201504230NOP|Kane Fitzgerald
201504230NOP|Scott Foster
201504230NOP|Derrick Stafford
201601200NYK|Kane Fitzgerald
201601200NYK|Tyler Ford
201601200NYK|John Goble
201512140DET|Mitchell Ervin
201512140DET|Kane Fitzgerald
201512140DET|Pat Fraher
201611300PHO|Ron Garretson
201611300PHO|Bill Spooner
201611300PHO|Haywoode Workman
201602230DEN|Kane Fitzgerald
201602230DEN|Eli Roe
201602230DEN|Sean Wright
201510280DET|Joe Crawford
201510280DET|Justin Van Duyne
201510280DET|Scott Wall
201612100ORL|Leroy Richardson
201612100ORL|Ben Taylor
201612100ORL|Tom Washington
201602210CHI|Scott Foster
201602210CHI|David Guthrie
201602210CHI|Ben Taylor
201603130BRK|Tony Brown
201603130BRK|Eric Dalen
201603130BRK|Derrick Stafford
201511030NOP|Brent Barnaky
201511030NOP|Ron Garretson
201511030NOP|Tre Maddox
201503150LAC|Brent Barnaky
201503150LAC|Brian Forte
201503150LAC|Monty McCutchen
201701080MIL|Curtis Blair
201701080MIL|Nick Buchert
201701080MIL|Jason Phillips
201603220OKC|Mark Ayotte
201603220OKC|James Capers
201603220OKC|Rodney Mott
201512300CHI|Curtis Blair
201512300CHI|Eric Lewis
201512300CHI|Jason Phillips
201612210UTA|Mitchell Ervin
201612210UTA|Derrick Stafford
201612210UTA|Josh Tiven
201511170DET|David Jones
201511170DET|Aaron Smith
201511170DET|Michael Smith
201511300MIA|Steve Anderson
201511300MIA|James Capers
201511300MIA|James Williams
201701130HOU|Eric Dalen
201701130HOU|Tom Washington
201701130HOU|James Williams
201504050CLE|Dan Crawford
201504050CLE|David Jones
201504050CLE|Eli Roe
201701030PHI|James Capers
201701030PHI|Karl Lane
201701030PHI|Rodney Mott
201505110WAS|John Goble
201505110WAS|Ed Malloy
201505110WAS|Ken Mauer
201603280CHI|David Jones
201603280CHI|Ed Malloy
201603280CHI|J.T. Orr
201512050PHI|Mike Callahan
201512050PHI|Mark Lindsay
201512050PHI|Kevin Scott
201611010CLE|Kevin Cutler
201611010CLE|Courtney Kirkland
201611010CLE|Sean Wright
201505240CLE|Tony Brothers
201505240CLE|John Goble
201505240CLE|Ed Malloy
201603090MIL|Pat Fraher
201603090MIL|Ron Garretson
201603090MIL|Marat Kogut
201605160GSW|Monty McCutchen
201605160GSW|Derrick Stafford
201605160GSW|Tom Washington
201512090PHO|Ron Garretson
201512090PHO|Leon Wood
201512090PHO|Gary Zielinski
201611100MIA|Brent Barnaky
201611100MIA|Marc Davis
201611100MIA|Lauren Holtkamp
201602190MEM|Mark Ayotte
201602190MEM|Ed Malloy
201602190MEM|Gediminas Petraitis
201602190MEM|Zach Zarba
201611060DAL|Nick Buchert
201611060DAL|Justin Van Duyne
201611060DAL|Tom Washington
201512230IND|Ed Malloy
201512230IND|Dedric Taylor
201512230IND|Josh Tiven
201601230MIN|Tony Brown
201601230MIN|Tyler Ford
201601230MIN|Ken Mauer
201604020SAS|David Guthrie
201604020SAS|Courtney Kirkland
201604020SAS|Bill Spooner
201511060IND|Marc Davis
201511060IND|Karl Lane
201511060IND|Mark Lindsay
201503240MIL|Courtney Kirkland
201503240MIL|Jason Phillips
201503240MIL|Justin Van Duyne
201511160CHI|John Goble
201511160CHI|Michael Smith
201511160CHI|Haywoode Workman
201511200GSW|Brent Barnaky
201511200GSW|Jason Phillips
201511200GSW|Derek Richardson
201701040LAC|Steve Anderson
201701040LAC|Michael Smith
201701040LAC|Sean Wright
201612030POR|Bennie Adams
201612030POR|Tre Maddox
201612030POR|Ken Mauer
201511160SAS|Mark Ayotte
201511160SAS|Mike Callahan
201511160SAS|Tyler Ford
201612060UTA|Tony Brothers
201612060UTA|Kevin Scott
201612060UTA|Ben Taylor
201503240DET|Curtis Blair
201503240DET|Kane Fitzgerald
201503240DET|Bill Spooner
201601250MEM|Ron Garretson
201601250MEM|David Guthrie
201601250MEM|J.T. Orr
201503270NYK|Tre Maddox
201503270NYK|Leroy Richardson
201503270NYK|Sean Wright
201604170CLE|Leroy Richardson
201604170CLE|Derrick Stafford
201604170CLE|Zach Zarba
201612220MIA|Mark Lindsay
201612220MIA|Ed Malloy
201612220MIA|Aaron Smith
201612020BOS|Tony Brown
201612020BOS|J.T. Orr
201612020BOS|Jason Phillips
201603110OKC|Bennie Adams
201603110OKC|Mike Callahan
201603110OKC|Kevin Cutler
201612010CHO|Kane Fitzgerald
201612010CHO|Karl Lane
201612010CHO|James Williams
201511060PHO|Matt Boland
201511060PHO|Eli Roe
201511060PHO|Zach Zarba
201602030LAC|Derrick Collins
201602030LAC|Scott Foster
201602030LAC|Lauren Holtkamp
201611160OKC|Jason Phillips
201611160OKC|Leroy Richardson
201611160OKC|Aaron Smith
201601180LAC|Dan Crawford
201601180LAC|J.T. Orr
201601180LAC|James Williams
201604230POR|Tony Brothers
201604230POR|Scott Foster
201604230POR|Tom Washington
201612080MEM|J.T. Orr
201612080MEM|Josh Tiven
201612080MEM|Tom Washington
201611250DEN|Mark Ayotte
201611250DEN|Ed Malloy
201611250DEN|Gediminas Petraitis
201511240POR|Marc Davis
201511240POR|Karl Lane
201511240POR|Leroy Richardson
201504030BRK|Scott Foster
201504030BRK|David Guthrie
201504030BRK|Eli Roe
201512200ORL|Eric Lewis
201512200ORL|J.T. Orr
201512200ORL|Bill Spooner
201611280WAS|Tony Brothers
201611280WAS|Eric Lewis
201611280WAS|Leon Wood
201503030CHI|Courtney Kirkland
201503030CHI|Tre Maddox
201503030CHI|Tom Washington
201601080NOP|Mike Callahan
201601080NOP|Tyler Ford
201601080NOP|David Jones
201505150WAS|James Capers
201505150WAS|Monty McCutchen
201505150WAS|Derrick Stafford
201603300DAL|Eric Dalen
201603300DAL|Scott Foster
201603300DAL|Justin Van Duyne
201602010BRK|Kevin Cutler
201602010BRK|Eric Lewis
201602010BRK|Mark Lindsay
201612230DEN|Derrick Collins
201612230DEN|Eric Lewis
201612230DEN|Justin Van Duyne
201511130DAL|Bennie Adams
201511130DAL|Ed Malloy
201511130DAL|Scott Twardoski
201504240DAL|Mike Callahan
201504240DAL|Michael Smith
201504240DAL|Tom Washington
201611300MIN|Dan Crawford
201611300MIN|Eric Lewis
201611300MIN|Vladimir Voyard-Tadal
201604080DEN|Eric Dalen
201604080DEN|Ken Mauer
201604080DEN|Gary Zielinski
201512120BRK|Tony Brown
201512120BRK|John Goble
201512120BRK|J.T. Orr
201602260PHI|David Jones
201602260PHI|Justin Van Duyne
201602260PHI|Zach Zarba
201511110HOU|Bennie Adams
201511110HOU|Lauren Holtkamp
201511110HOU|Sean Wright
201604220BOS|Marc Davis
201604220BOS|Eric Lewis
201604220BOS|Zach Zarba
201611300OKC|Curtis Blair
201611300OKC|Tony Brown
201611300OKC|Brian Forte
201611230PHI|Nick Buchert
201611230PHI|Pat Fraher
201611230PHI|Derek Richardson
201602190ORL|Derrick Collins
201602190ORL|Ken Mauer
201602190ORL|Haywoode Workman
201701190MIA|Sean Corbin
201701190MIA|Michael Smith
201701190MIA|Dedric Taylor
201504010MIL|Mark Ayotte
201504010MIL|Bill Kennedy
201504010MIL|Scott Twardoski
201612080WAS|Tony Brown
201612080WAS|Courtney Kirkland
201612080WAS|Justin Van Duyne
201504030MEM|Pat Fraher
201504030MEM|Monty McCutchen
201504030MEM|Kevin Scott
201504110POR|Dan Crawford
201504110POR|Dedric Taylor
201504110POR|Scott Wall
201603090DAL|David Jones
201603090DAL|Derrick Stafford
201603090DAL|Justin Van Duyne
201612270LAL|Sean Corbin
201612270LAL|Kevin Cutler
201612270LAL|Courtney Kirkland
201611110PHI|Matt Boland
201611110PHI|James Capers
201611110PHI|Tyler Ford
201503240SAC|John Goble
201503240SAC|J.T. Orr
201503240SAC|Leon Wood
201512230BRK|Tony Brothers
201512230BRK|Mark Lindsay
201512230BRK|Justin Van Duyne
201512110DEN|Mark Ayotte
201512110DEN|Justin Van Duyne
201512110DEN|Zach Zarba
201611050PHI|Mike Callahan
201611050PHI|Brett Nansel
201611050PHI|Gary Zielinski
201701070MIN|Bill Kennedy
201701070MIN|Mark Lindsay
201701070MIN|Gary Zielinski
201603240LAC|Tony Brown
201603240LAC|Marat Kogut
201603240LAC|Bill Spooner
201511040MIL|Steve Anderson
201511040MIL|Derrick Collins
201511040MIL|Michael Smith
201701160PHO|Derrick Collins
201701160PHO|Rodney Mott
201701160PHO|Haywoode Workman
201512100BRK|Kevin Cutler
201512100BRK|Rodney Mott
201512100BRK|Sean Wright
201605230TOR|David Guthrie
201605230TOR|Monty McCutchen
201605230TOR|Derrick Stafford
201503010BOS|James Capers
201503010BOS|Mark Lindsay
201503010BOS|Violet Palmer
201604220DET|Monty McCutchen
201604220DET|Jason Phillips
201604220DET|Michael Smith
201701140UTA|Curtis Blair
201701140UTA|Kane Fitzgerald
201701140UTA|Karl Lane
201612030MEM|Mitchell Ervin
201612030MEM|Brian Forte
201612030MEM|Derrick Stafford
201701130POR|Derrick Collins
201701130POR|J.T. Orr
201701130POR|Bill Spooner
201601250SAC|Steve Anderson
201601250SAC|Kane Fitzgerald
201601250SAC|Zach Zarba
201601280WAS|Bennie Adams
201601280WAS|Ken Mauer
201601280WAS|Gediminas Petraitis
201604130CLE|Eric Dalen
201604130CLE|Jason Phillips
201604130CLE|Michael Smith
201512210LAC|Nick Buchert
201512210LAC|Ron Garretson
201512210LAC|John Goble
201603050WAS|Kevin Cutler
201603050WAS|Kane Fitzgerald
201603050WAS|Tom Washington
201611090SAS|Eric Dalen
201611090SAS|Scott Foster
201611090SAS|Courtney Kirkland
201612230MEM|Dan Crawford
201612230MEM|Ron Garretson
201612230MEM|C.J. Washington
201612170ATL|Kevin Cutler
201612170ATL|Michael Smith
201612170ATL|Zach Zarba
201602030DAL|Eric Lewis
201602030DAL|Ben Taylor
201602030DAL|Tom Washington
201601130WAS|Dan Crawford
201601130WAS|Mitchell Ervin
201601130WAS|Bill Kennedy
201510310WAS|Kevin Scott
201510310WAS|Zach Zarba
201510310WAS|Gary Zielinski
201504290ATL|David Jones
201504290ATL|Monty McCutchen
201504290ATL|James Williams
201512090DAL|Mike Callahan
201512090DAL|Derrick Collins
201512090DAL|Tre Maddox
201512090DAL|Ed Malloy
201504110MIA|Steve Anderson
201504110MIA|James Capers
201504110MIA|David Guthrie
201503040LAC|Scott Foster
201503040LAC|David Guthrie
201503040LAC|Gary Zielinski
201603180NOP|Nick Buchert
201603180NOP|Eric Lewis
201603180NOP|Gediminas Petraitis
201503100LAL|James Capers
201503100LAL|Kevin Scott
201503100LAL|Michael Smith
201603090CHO|Mitchell Ervin
201603090CHO|Courtney Kirkland
201603090CHO|Scott Wall
201512180SAS|Brian Forte
201512180SAS|Ed Malloy
201512180SAS|Leroy Richardson
201603300LAL|James Capers
201603300LAL|Derrick Collins
201603300LAL|J.T. Orr
201603010GSW|Marc Davis
201603010GSW|Leroy Richardson
201603010GSW|Haywoode Workman
201611280GSW|Bennie Adams
201611280GSW|Mark Lindsay
201611280GSW|J.T. Orr
201603040TOR|Lauren Holtkamp
201603040TOR|Eric Lewis
201603040TOR|Scott Wall
201511250SAS|Dan Crawford
201511250SAS|David Jones
201511250SAS|Haywoode Workman
201612100CHI|Kevin Cutler
201612100CHI|Rodney Mott
201612100CHI|Josh Tiven
201611160BOS|Steve Anderson
201611160BOS|James Capers
201611160BOS|Pat Fraher
201602060MEM|John Goble
201602060MEM|Tre Maddox
201602060MEM|James Williams
201512130OKC|Matt Boland
201512130OKC|Lauren Holtkamp
201512130OKC|Ed Malloy
201701020CHI|Marc Davis
201701020CHI|Ron Garretson
201701020CHI|Marat Kogut
201511160PHI|Mark Lindsay
201511160PHI|J.T. Orr
201511160PHI|Sean Wright
201512050HOU|Mark Ayotte
201512050HOU|Dan Crawford
201512050HOU|Lauren Holtkamp
201610300PHO|Nick Buchert
201610300PHO|Ed Malloy
201610300PHO|Gediminas Petraitis
201602260TOR|James Capers
201602260TOR|David Guthrie
201602260TOR|Ben Taylor
201510280TOR|Bennie Adams
201510280TOR|Ken Mauer
201510280TOR|Leroy Richardson
201604160ATL|James Capers
201604160ATL|Derrick Collins
201604160ATL|Rodney Mott
201601050ATL|Matt Boland
201601050ATL|John Goble
201601050ATL|Marat Kogut
201611020ATL|John Goble
201611020ATL|J.T. Orr
201611020ATL|Jason Phillips
201604010MIL|Matt Boland
201604010MIL|Kane Fitzgerald
201604010MIL|Jason Phillips
201604110ORL|Gediminas Petraitis
201604110ORL|Scott Wall
201604110ORL|Tom Washington
201602060GSW|Derrick Collins
201602060GSW|Dan Crawford
201602060GSW|J.T. Orr
201602290BOS|Matt Boland
201602290BOS|David Jones
201602290BOS|Zach Zarba
201603300UTA|Kane Fitzgerald
201603300UTA|Jason Phillips
201603300UTA|Scott Wall
201612020NYK|Brent Barnaky
201612020NYK|Kevin Cutler
201612020NYK|Monty McCutchen
201511060ORL|Mark Ayotte
201511060ORL|Eric Dalen
201511060ORL|Brian Forte
201612200MEM|Mike Callahan
201612200MEM|Jacyn Goble
201612200MEM|Ben Taylor
201603060DEN|Dan Crawford
201603060DEN|David Guthrie
201603060DEN|Scott Twardoski
201503010HOU|Tony Brown
201503010HOU|Dan Crawford
201503010HOU|Michael Smith
201610300MIA|Kevin Cutler
201610300MIA|Leroy Richardson
201610300MIA|Sean Wright
201601080LAL|Bennie Adams
201601080LAL|Tre Maddox
201601080LAL|Ken Mauer
201611120TOR|Matt Boland
201611120TOR|Scott Foster
201611120TOR|Jacyn Goble
201503250CHO|Nick Buchert
201503250CHO|Jason Phillips
201503250CHO|Derek Richardson
201510300DET|Bennie Adams
201510300DET|Marat Kogut
201510300DET|Ken Mauer
201612120LAC|Nick Buchert
201612120LAC|Tyler Ford
201612120LAC|Jason Phillips
201611190MIL|J.T. Orr
201611190MIL|Jason Phillips
201611190MIL|Michael Smith
201601260IND|Ron Garretson
201601260IND|David Jones
201601260IND|Justin Van Duyne
201504220LAC|Joe Crawford
201504220LAC|Ron Garretson
201504220LAC|Sean Wright
201512290HOU|John Goble
201512290HOU|Mark Lindsay
201512290HOU|Justin Van Duyne
201701150MEM|Tony Brown
201701150MEM|Mike Callahan
201701150MEM|Derek Richardson
201611110POR|Ken Mauer
201611110POR|Leroy Richardson
201611110POR|Ben Taylor
201601060BOS|James Capers
201601060BOS|Bill Kennedy
201601060BOS|Derek Richardson
201601070HOU|Pat Fraher
201601070HOU|Courtney Kirkland
201601070HOU|Haywoode Workman
201611250MIL|Pat Fraher
201611250MIL|Bill Kennedy
201611250MIL|Ben Taylor
201603070CLE|Bennie Adams
201603070CLE|Kevin Cutler
201603070CLE|Ron Garretson
201602030UTA|Bennie Adams
201602030UTA|Bill Spooner
201602030UTA|Dedric Taylor
201604090MEM|Tre Maddox
201604090MEM|Jason Phillips
201604090MEM|James Williams
201503140UTA|Marc Davis
201503140UTA|Eli Roe
201503140UTA|Scott Wall
201611160PHI|Eric Dalen
201611160PHI|Derrick Stafford
201611160PHI|Vladimir Voyard-Tadal
201601200POR|Dan Crawford
201601200POR|Gediminas Petraitis
201601200POR|James Williams
201511280CLE|Derrick Collins
201511280CLE|Scott Foster
201511280CLE|Derek Richardson
201612200HOU|Matt Boland
201612200HOU|Tony Brothers
201612200HOU|Gary Zielinski
201504040TOR|Brent Barnaky
201504040TOR|Scott Wall
201504040TOR|Tom Washington
201503160DAL|James Capers
201503160DAL|Eric Lewis
201503160DAL|Kevin Scott
201601100HOU|Lauren Holtkamp
201601100HOU|Monty McCutchen
201601100HOU|Josh Tiven
201612200MIA|Mark Ayotte
201612200MIA|Gediminas Petraitis
201612200MIA|James Williams
201612050NOP|Tony Brown
201612050NOP|Justin Van Duyne
201612050NOP|James Williams
201612060MEM|Marat Kogut
201612060MEM|Jason Phillips
201612060MEM|Michael Smith
201503310BRK|Mark Lindsay
201503310BRK|Leon Wood
201503310BRK|Zach Zarba
201611300CHI|Scott Foster
201611300CHI|Marat Kogut
201611300CHI|Gary Zielinski
201512010NOP|Mitchell Ervin
201512010NOP|Ed Malloy
201512010NOP|James Williams
201602060SAS|Sean Corbin
201602060SAS|Leroy Richardson
201602060SAS|Gary Zielinski
201504010OKC|Joe Crawford
201504010OKC|Leroy Richardson
201504010OKC|Josh Tiven
201511180ORL|Derrick Collins
201511180ORL|Monty McCutchen
201511180ORL|Eli Roe
201601150NOP|Derrick Collins
201601150NOP|Marat Kogut
201601150NOP|Derrick Stafford
201602270NOP|Marat Kogut
201602270NOP|Josh Tiven
201602270NOP|Zach Zarba
201602050CHO|Eric Dalen
201602050CHO|John Goble
201602050CHO|Justin Van Duyne
201511110CHO|Brent Barnaky
201511110CHO|Ron Garretson
201511110CHO|David Jones
201504120IND|Courtney Kirkland
201504120IND|Marat Kogut
201504120IND|Ed Malloy
201602050CLE|Steve Anderson
201602050CLE|Bill Spooner
201602050CLE|James Williams
201604240DET|Marc Davis
201604240DET|Bill Kennedy
201604240DET|Courtney Kirkland
201511140WAS|Tony Brown
201511140WAS|John Goble
201511140WAS|Haywoode Workman
201511230MIN|Tony Brothers
201511230MIN|Michael Smith
201511230MIN|Haywoode Workman
201511180CHO|John Goble
201511180CHO|Eric Lewis
201511180CHO|Aaron Smith
201611210MIL|Karl Lane
201611210MIL|Justin Van Duyne
201611210MIL|Tom Washington
201504140IND|Eric Lewis
201504140IND|Tom Washington
201504140IND|Haywoode Workman
201612280ATL|Monty McCutchen
201612280ATL|Aaron Smith
201612280ATL|James Williams
201611080POR|Steve Anderson
201611080POR|Rodney Mott
201611080POR|Josh Tiven
201605080ATL|Bennie Adams
201605080ATL|Marc Davis
201605080ATL|Jason Phillips
201610300HOU|Matt Boland
201610300HOU|Ken Mauer
201610300HOU|Derek Richardson
201612160UTA|Scott Foster
201612160UTA|Leon Wood
201612160UTA|Gary Zielinski
201611210WAS|Rodney Mott
201611210WAS|Derek Richardson
201611210WAS|Michael Smith
201612260LAC|Eric Dalen
201612260LAC|Ron Garretson
201612260LAC|Tre Maddox
201701100HOU|Marc Davis
201701100HOU|Rodney Mott
