zagat original string|fodors original string
Yujean Kang's 67 N. Raymond Ave. Pasadena|Yujean Kang's Gourmet Chinese Cuisine 67 N. Raymond Ave. Los Angeles
21 Club 21 W. 52nd St. New York City|21 Club 21 W. 52nd St. New York
Aquavit 13 W. 54th St. New York City|Aquavit 13 W. 54th St. New York
Aquavit 13 W. 54th St. New York City|Aqua 252 California St. San Francisco
Aureole 34 E. 61st St. New York City|Aureole 34 E. 61st St. New York
Benny's Burritos 93 Ave. A New York City|Ben Benson's 123 W. 52nd St. New York
Cafe Lalo 201 W. 83rd St. New York City|Cafe Bizou 14016 Ventura Blvd. Sherman Oaks
Cafe Lalo 201 W. 83rd St. New York City|Cafe Pinot 700 W. Fifth St. Los Angeles
Cafe Lalo 201 W. 83rd St. New York City|Caf&eacute; Lalo 201 W. 83rd St. New York
Cafe Lalo 201 W. 83rd St. New York City|Cafe Roma 3570 Las Vegas Blvd. S Las Vegas
Cafe des Artistes 1 W. 67th St. New York City|Caf&eacute; des Artistes 1 W. 67th St. New York
Cafe des Artistes 1 W. 67th St. New York City|Caffe Bondi Ristorante 7 W. 20th St. New York
Cafe des Artistes 1 W. 67th St. New York City|Cafe Renaissance 7050 Jimmy Carter Blvd.  Norcross Atlanta
Carnegie Deli 854 Seventh Ave. New York City|Carnegie Deli 854 7th Ave.  between 54th and 55th Sts. New York
Chanterelle 2 Harrison St. New York City|Chanterelle 2 Harrison St.  near Hudson St. New York
Daniel 20 E. 76th St. New York City|Daniel 20 E. 76th St. New York
Dawat 210 E. 58th St. New York City|Dawat 210 E. 58th St. New York
Elias Corner 24-02 31st St. Queens|Capp's Corner 1600 Powell St. San Francisco
Felidia 243 E. 58th St. New York City|Felidia 243 E. 58th St. New York
Four Seasons 99 E. 52nd St. New York City|Four Seasons Grill Room 99 E. 52nd St. New York
Gotham Bar & Grill 12 E. 12th St. New York City|Gotham Bar & Grill 12 E. 12th St. New York
Island Spice 402 W. 44th St. New York City|Island Spice 402 W. 44th St. New York
Jackson Diner 37-03 74th St. Queens|Jackson's Farm 439 N. Beverly Drive Los Angeles
Jackson Diner 37-03 74th St. Queens|Jack's 615 Sacramento St. San Francisco
Jo Jo 160 E. 64th St. New York City|Jo Jo 160 E. 64th St. New York
La Caravelle 33 W. 55th St. New York City|La Caravelle 33 W. 55th St. New York
La Cote Basque 60 W. 55th St. New York City|La Cote Basque 60 W. 55th St.  between 5th and 6th Ave. New York
La Grenouille 3 E. 52nd St. New York City|La Grotta 2637 Peachtree Rd.  Peachtree House Condominium Atlanta
La Grenouille 3 E. 52nd St. New York City|La Folie 2316 Polk St. San Francisco
La Grenouille 3 E. 52nd St. New York City|La Grotta at Ravinia Dunwoody Rd.  Holiday Inn/Crowne Plaza at Ravinia  Dunwoody Atlanta
Le Bernardin 155 W. 51st St. New York City|Le Bernardin 155 W. 51st St. New York
Le Bernardin 155 W. 51st St. New York City|Le Madri 168 W. 18th St. New York
Lespinasse (New York City) 2 E. 55th St. New York City|Lespinasse 2 E. 55th St. New York
Lutece 249 E. 50th St. New York City|Lut&egrave;ce 249 E. 50th St. New York
Manhattan Ocean Club 57 W. 58th St. New York City|Manhattan Ocean Club 57 W. 58th St. New York
March 405 E. 58th St. New York City|March 405 E. 58th St. New York
Mesa Grill 102 Fifth Ave. New York City|Mesa Grill 102 5th Ave.  between 15th and 16th Sts. New York
Mi Cocina 57 Jane St. New York City|Mi Cocina 57 Jane St.  off Hudson St. New York
Mi Cocina 57 Jane St. New York City|Mi Spia Dunwoody Rd.  Park Place  across from Perimeter Mall  Dunwoody Atlanta
Montrachet 239 W. Broadway New York City|Montien 1134 1st Ave.   between 62nd and 63rd Sts. New York
Montrachet 239 W. Broadway New York City|Montrachet 239 W. Broadway  between Walker and White Sts. New York
Montrachet 239 W. Broadway New York City|Le Montrachet 3000 W. Paradise Rd. Las Vegas
Moustache 405 Atlantic Ave. Brooklyn|Montrachet 239 W. Broadway  between Walker and White Sts. New York
Oceana 55 E. 54th St. New York City|Ocean Avenue 1401 Ocean Ave. Santa Monica
Oceana 55 E. 54th St. New York City|Oceana 55 E. 54th St. New York
Palm 837 Second Ave. New York City|Palio 151 W. 51st. St. New York
Palm Too 840 Second Ave. New York City|Palio 151 W. 51st. St. New York
Park Avenue Cafe (New York City) 100 E. 63rd St. New York City|Park Avenue Cafe 100 E. 63rd St. New York
Patsy's Pizza 19 Old Fulton St. Brooklyn|Paty's 10001 Riverside Dr. Toluca Lake
Petrossian 182 W. 58th St. New York City|Petrossian 182 W. 58th St. New York
Picholine 35 W. 64th St. New York City|Picholine 35 W. 64th St. New York
Pisces 95 Ave. A New York City|Pisces 95 Ave. A at 6th St. New York
Pisces 95 Ave. A New York City|Palisades 1829 Peachtree Rd. Atlanta
River Cafe 1 Water St. Brooklyn|River Caf&eacute; 1 Water St. at the East River Brooklyn
Rose of India 308 E. Sixth St. New York City|Rose Pistola 532 Columbus Ave. San Francisco
San Domenico 240 Central Park S. New York City|San Domenico 240 Central Park S New York
Second Avenue Deli 156 Second Ave. New York City|Second Avenue Deli 156 2nd Ave. at 10th St. New York
Second Avenue Deli 156 Second Ave. New York City|Second Street Grille 200 E. Fremont St. Las Vegas
Seryna 11 E. 53rd St. New York City|Seryna 11 E. 53rd St. New York
Sign of the Dove 1110 Third Ave. New York City|Sign of the Dove 1110 3rd Ave. at 65th St. New York
Smith & Wollensky 797 Third Ave. New York City|Smith & Wollensky 201 E. 49th St. New York
Teresa's 80 Montague St. Queens|Teresa's 103 1st Ave.  between 6th and 7th Sts. New York
Thailand Restaurant 106 Bayard St. New York City|The Mandarin 430 N. Camden Dr. Los Angeles
Uncle Nick's 747 Ninth Ave. New York City|Uncle Nick's 747 9th Ave.  between 50th and 51st Sts. New York
Union Square Cafe 21 E. 16th St. New York City|Union Square Cafe 21 E. 16th St. New York
Virgil's Real BBQ 152 W. 44th St. New York City|Virgil's 152 W. 44th St. New York
Zarela 953 Second Ave. New York City|Zarzuela 2000 Hyde St. San Francisco
Buzio's in the Rio 3700 W. Flamingo Rd. Las Vegas|Carnival World 3700 W. Flamingo Rd. Las Vegas
Chin's 3200 Las Vegas Blvd. S. Las Vegas|Chinois on Main 2709 Main St. Santa Monica
Chin's 3200 Las Vegas Blvd. S. Las Vegas|Carmine's 2450 Broadway  between 90th and 91st Sts. New York
Chin's 3200 Las Vegas Blvd. S. Las Vegas|Chin's 3200 Las Vegas Blvd. S Las Vegas
Coyote Cafe (Las Vegas) 3799 Las Vegas Blvd. S. Las Vegas|Coyote Caf&eacute; 3799 Las Vegas Blvd. S Las Vegas
Emeril's New Orleans Fish House 3799 Las Vegas Blvd. S. Las Vegas|Coyote Caf&eacute; 3799 Las Vegas Blvd. S Las Vegas
Fiore Rotisserie & Grille 3700 W. Flamingo Rd. Las Vegas|Carnival World 3700 W. Flamingo Rd. Las Vegas
Le Montrachet Bistro 3000 Paradise Rd. Las Vegas|Le Marais 150 W. 46th St. New York
Monte Carlo 3145 Las Vegas Blvd. S. Las Vegas|Monkey Bar 60 E. 54th St. New York
Monte Carlo 3145 Las Vegas Blvd. S. Las Vegas|Montien 1134 1st Ave.   between 62nd and 63rd Sts. New York
Monte Carlo 3145 Las Vegas Blvd. S. Las Vegas|Montrachet 239 W. Broadway  between Walker and White Sts. New York
Moongate 3400 Las Vegas Blvd. S. Las Vegas|Montien 1134 1st Ave.   between 62nd and 63rd Sts. New York
Moongate 3400 Las Vegas Blvd. S. Las Vegas|Bistro 3400 Las Vegas Blvd. S Las Vegas
Moongate 3400 Las Vegas Blvd. S. Las Vegas|Mikado 3400 Las Vegas Blvd. S Las Vegas
Morton's of Chicago (Las Vegas) 3200 Las Vegas Blvd. S. Las Vegas|Morton's 8764 Melrose Ave. Los Angeles
Morton's of Chicago (Las Vegas) 3200 Las Vegas Blvd. S. Las Vegas|Morton's 551 5th Ave. at 45th St. New York
Morton's of Chicago (Las Vegas) 3200 Las Vegas Blvd. S. Las Vegas|Chin's 3200 Las Vegas Blvd. S Las Vegas
Nicky Blair's 3925 Paradise Rd. Las Vegas|Nicola 601 S. Figueroa St. Los Angeles
Palace Court 3570 Las Vegas Blvd. S. Las Vegas|Bertolini's 3570 Las Vegas Blvd. S Las Vegas
Palace Court 3570 Las Vegas Blvd. S. Las Vegas|Cafe Roma 3570 Las Vegas Blvd. S Las Vegas
Palace Court 3570 Las Vegas Blvd. S. Las Vegas|Empress Court 3570 Las Vegas Blvd. S Las Vegas
Palace Court 3570 Las Vegas Blvd. S. Las Vegas|Palace Court 3570 Las Vegas Blvd. S Las Vegas
Palace Court 3570 Las Vegas Blvd. S. Las Vegas|The Bacchanal 3570 Las Vegas Blvd. S Las Vegas
Second Street Grill 200 E. Fremont St. Las Vegas|Second Avenue Deli 156 2nd Ave. at 10th St. New York
Second Street Grill 200 E. Fremont St. Las Vegas|Second Street Grille 200 E. Fremont St. Las Vegas
Second Street Grill 200 E. Fremont St. Las Vegas|Hayes Street Grill 320 Hayes St. San Francisco
Spago (Las Vegas) 3500 Las Vegas Blvd. S. Las Vegas|Spago 1114 Horn Ave. Los Angeles
Steak House  The 2880 Las Vegas Blvd. S. Las Vegas|Circus Circus 2880 Las Vegas Blvd. S Las Vegas
Steak House  The 2880 Las Vegas Blvd. S. Las Vegas|Steak House 2880 Las Vegas Blvd. S Las Vegas
Stefano's 129 Fremont St. Las Vegas|Stoyanof's Cafe 1240 9th Ave. San Francisco
Sterling Brunch 3645 Las Vegas Blvd. S. Las Vegas|Bally's Big Kitchen 3645 Las Vegas Blvd. S Las Vegas
Tillerman  The 2245 E. Flamingo Rd. Las Vegas|Tillerman 2245 E. Flamingo Rd. Las Vegas
Tre Visi 3799 Las Vegas Blvd. S. Las Vegas|Trader Vic's 9876 Wilshire Blvd. Los Angeles
Tre Visi 3799 Las Vegas Blvd. S. Las Vegas|Coyote Caf&eacute; 3799 Las Vegas Blvd. S Las Vegas
Abruzzi 2355 Peachtree Rd. NE Atlanta|Abruzzi 2355 Peachtree Rd.  Peachtree Battle Shopping Center Atlanta
Bacchanalia 3125 Piedmont Rd. Atlanta|Bacchanalia 3125 Piedmont Rd.  near Peachtree Rd. Atlanta
Barbecue Kitchen 1437 Virginia Ave. Atlanta|Barbetta 321 W. 46th St. New York
Bistro  The 56 E. Andrews Dr. NW Atlanta|Bistro Garden 176 N. Canon Dr. Los Angeles
Bistro  The 56 E. Andrews Dr. NW Atlanta|Bistro 3400 Las Vegas Blvd. S Las Vegas
Bistro  The 56 E. Andrews Dr. NW Atlanta|Bistro Roti 155 Steuart St. San Francisco
Bone's Restaurant 3130 Piedmont Rd. NE Atlanta|Bone's 3130 Piedmont Road Atlanta
Brasserie Le Coze 3393 Peachtree Rd. Atlanta|Brasserie Le Coze 3393 Peachtree Rd.  Lenox Square Mall  near Neiman Marcus Atlanta
Brasserie Le Coze 3393 Peachtree Rd. Atlanta|TomTom 3393 Peachtree Rd. Atlanta
Buckhead Diner 3073 Piedmont Rd. Atlanta|Buckhead Diner 3073 Piedmont Road Atlanta
Cafe Sunflower 5975 Roswell Rd. Atlanta|Cafe Pinot 700 W. Fifth St. Los Angeles
Cafe Sunflower 5975 Roswell Rd. Atlanta|Cafe Centro 200 Park Ave.  between 45th St. and Vanderbilt Ave. New York
Cafe Sunflower 5975 Roswell Rd. Atlanta|Cafe Fes 246 W. 4th St. at Charles St. New York
Canoe 4199 Paces Ferry Rd. Atlanta|Canter's 419 N. Fairfax Ave. Los Angeles
Carey's 1021 Cobb Pkwy. SE Marietta|Canter's 419 N. Fairfax Ave. Los Angeles
Carey's 1021 Cobb Pkwy. SE Marietta|Carmine's 2450 Broadway  between 90th and 91st Sts. New York
Carey's 1021 Cobb Pkwy. SE Marietta|Camille's 1186 N. Highland Ave. Atlanta
Carey's Corner 1215 Powers Ferry Rd. Marietta|Capp's Corner 1600 Powell St. San Francisco
Ciboulette Restaurant 1529 Piedmont Ave. Atlanta|Ciboulette 1529 Piedmont Ave. Atlanta
Delectables 1 Margaret Mitchell Sq. Atlanta|Delectables 1 Margaret Mitchell Sq. Atlanta
Georgia Grille 2290 Peachtree Rd. Atlanta|Georgia Grille 2290 Peachtree Rd.  Peachtree Square Shopping Center Atlanta
Greenwood's 1087 Green St. Roswell|Greens Bldg. A Fort Mason San Francisco
Hedgerose Heights Inn  The 490 E. Paces Ferry Rd. NE Atlanta|Hedgerose Heights Inn 490 E. Paces Ferry Rd. Atlanta
Heera of India 595 Piedmont Ave. Atlanta|Jewel of India 15 W. 44th St. New York
Heera of India 595 Piedmont Ave. Atlanta|Heera of India 595 Piedmont Ave.  Rio Shopping Mall Atlanta
Indigo Coastal Grill 1397 N. Highland Ave. Atlanta|Indigo Coastal Grill 1397 N. Highland Ave. Atlanta
La Fonda Latina 4427 Roswell Rd. Atlanta|La Folie 2316 Polk St. San Francisco
La Grotta 2637 Peachtree Rd. NE Atlanta|La Grotta 2637 Peachtree Rd.  Peachtree House Condominium Atlanta
La Grotta 2637 Peachtree Rd. NE Atlanta|La Grotta at Ravinia Dunwoody Rd.  Holiday Inn/Crowne Plaza at Ravinia  Dunwoody Atlanta
Mary Mac's Tea Room 224 Ponce de Leon Ave. Atlanta|Mary Mac's Tea Room 224 Ponce de Leon Ave. Atlanta
Morton's of Chicago (Atlanta) 303 Peachtree St. NE Atlanta|Morton's 8764 Melrose Ave. Los Angeles
Morton's of Chicago (Atlanta) 303 Peachtree St. NE Atlanta|Morton's 551 5th Ave. at 45th St. New York
Nava 3060 Peachtree Rd. Atlanta|Cava 3rd St. Los Angeles
Nikolai's Roof 255 Courtland St. Atlanta|Nikolai's Roof 255 Courtland St.  at Harris St. Atlanta
Pano's & Paul's 1232 W. Paces Ferry Rd. Atlanta|Pano's and Paul's 1232 W. Paces Ferry Rd. Atlanta
Rainbow Restaurant 2118 N. Decatur Rd. Decatur|Rain 100 W. 82nd St. New York
Rainbow Restaurant 2118 N. Decatur Rd. Decatur|Rainbow Room 30 Rockefeller Plaza New York
Ritz-Carlton Cafe (Atlanta) 181 Peachtree St. Atlanta|Restaurant  Ritz-Carlton  Atlanta 181 Peachtree St. Atlanta
Ritz-Carlton Cafe (Atlanta) 181 Peachtree St. Atlanta|Ritz-Carlton Restaurant and Dining Room 600 Stockton St. San Francisco
Ritz-Carlton Cafe (Buckhead) 3434 Peachtree Rd. NE Atlanta|Caf&eacute;  Ritz-Carlton  Buckhead 3434 Peachtree Rd. Atlanta
Ritz-Carlton Cafe (Buckhead) 3434 Peachtree Rd. NE Atlanta|Dining Room  Ritz-Carlton  Buckhead 3434 Peachtree Rd. Atlanta
Ritz-Carlton Dining Room (Buckhead) 3434 Peachtree Rd. NE Atlanta|Caf&eacute;  Ritz-Carlton  Buckhead 3434 Peachtree Rd. Atlanta
Ritz-Carlton Dining Room (Buckhead) 3434 Peachtree Rd. NE Atlanta|Dining Room  Ritz-Carlton  Buckhead 3434 Peachtree Rd. Atlanta
Ritz-Carlton Dining Room (Buckhead) 3434 Peachtree Rd. NE Atlanta|Ritz-Carlton Restaurant and Dining Room 600 Stockton St. San Francisco
Ritz-Carlton Restaurant 181 Peachtree St. Atlanta|Restaurant  Ritz-Carlton  Atlanta 181 Peachtree St. Atlanta
Ritz-Carlton Restaurant 181 Peachtree St. Atlanta|Ritz-Carlton Restaurant and Dining Room 600 Stockton St. San Francisco
Riviera 519 E. Paces Ferry Rd. Atlanta|River Caf&eacute; 1 Water St. at the East River Brooklyn
Toulouse 293-B Peachtree Rd. Atlanta|Toulouse B Peachtree Rd. Atlanta
Veni Vidi Vici 41 14th St. Atlanta|Veni Vidi Vici 41 14th St. Atlanta
Alain Rondelli 126 Clement St. San Francisco|Alain Rondelli 126 Clement St. San Francisco
Aqua 252 California St. San Francisco|Aquavit 13 W. 54th St. New York
Aqua 252 California St. San Francisco|Aqua 252 California St. San Francisco
Bill's Place 2315 Clement St. San Francisco|Billy's 948 1st Ave.  between 52nd and 53rd Sts. New York
Boulevard 1 Mission St. San Francisco|Bouterin 420 E. 59th St.  off 1st Ave. New York
Boulevard 1 Mission St. San Francisco|Boulevard 1 Mission St. San Francisco
Cafe Claude 7 Claude Ln. San Francisco|Cafe Bizou 14016 Ventura Blvd. Sherman Oaks
Cafe Claude 7 Claude Ln. San Francisco|Cafe Centro 200 Park Ave.  between 45th St. and Vanderbilt Ave. New York
Cafe Claude 7 Claude Ln. San Francisco|Cafe Fes 246 W. 4th St. at Charles St. New York
Cafe Claude 7 Claude Ln. San Francisco|Cafe Roma 3570 Las Vegas Blvd. S Las Vegas
Cafe Flore 2298 Market St. San Francisco|Cafe Bizou 14016 Ventura Blvd. Sherman Oaks
Cafe Flore 2298 Market St. San Francisco|Cafe Pinot 700 W. Fifth St. Los Angeles
Cafe Flore 2298 Market St. San Francisco|Cafe Centro 200 Park Ave.  between 45th St. and Vanderbilt Ave. New York
Cafe Flore 2298 Market St. San Francisco|Cafe Fes 246 W. 4th St. at Charles St. New York
Cafe Flore 2298 Market St. San Francisco|Cafe Roma 3570 Las Vegas Blvd. S Las Vegas
Caffe Greco 423 Columbus Ave. San Francisco|Cafe Bizou 14016 Ventura Blvd. Sherman Oaks
Caffe Greco 423 Columbus Ave. San Francisco|Cafe Pinot 700 W. Fifth St. Los Angeles
Caffe Greco 423 Columbus Ave. San Francisco|Cafe Centro 200 Park Ave.  between 45th St. and Vanderbilt Ave. New York
Caffe Greco 423 Columbus Ave. San Francisco|Cafe Fes 246 W. 4th St. at Charles St. New York
Caffe Greco 423 Columbus Ave. San Francisco|Caff&egrave; Reggio 119 MacDougal St.  between 3rd and Bleecker Sts. New York
Caffe Greco 423 Columbus Ave. San Francisco|Caff&egrave; Roma 385 Broome St. at Mulberry New York
Caffe Greco 423 Columbus Ave. San Francisco|Cafe Roma 3570 Las Vegas Blvd. S Las Vegas
Campo Santo 240 Columbus Ave. San Francisco|Campanile 624 S. La Brea Ave. Los Angeles
Campton Place 340 Stockton St. San Francisco|Campanile 624 S. La Brea Ave. Los Angeles
Campton Place 340 Stockton St. San Francisco|Campton Place 340 Stockton St. San Francisco
Cha Cha Cha's 1805 Haight St. San Francisco|Cha Cha Cha 656 N. Virgil Ave. Los Angeles
Chez Michel 804 North Point St. San Francisco|Chez Jacqueline 72 MacDougal St.  between W. Houston and Bleecker Sts. New York
Chez Michel 804 North Point St. San Francisco|Chez Michel 804 Northpoint San Francisco
Fleur de Lys 777 Sutter St. San Francisco|Fleur de Jour 348 E. 62nd St. New York
Fleur de Lys 777 Sutter St. San Francisco|Fleur de Lys 777 Sutter St. San Francisco
Fringale 570 Fourth St. San Francisco|Fringale 570 4th St. San Francisco
Hawthorne Lane 22 Hawthorne St. San Francisco|Hawthorne Lane 22 Hawthorne St. San Francisco
Khan Toke Thai House 5937 Geary Blvd. San Francisco|Khan Toke Thai House 5937 Geary Blvd. San Francisco
La Cumbre 515 Valencia St. San Francisco|La Caravelle 33 W. 55th St. New York
La Folie 2316 Polk St. San Francisco|La Folie 2316 Polk St. San Francisco
La Mediterranee 288 Noe St. San Francisco|La Reserve 4 W. 49th St. New York
