zagat original string|zagat restaurant name|zagat city name|zagat address|fodors original string|fodors restaurant name|fodors city name|fodors address
Second Street Grill 200 E. Fremont St. Las Vegas|Second Street Grill|Las Vegas|200 E. Fremont St.|Second Street Grille 200 E. Fremont St. Las Vegas|Second Street Grille|Las Vegas|200 E. Fremont St.
Spago (Los Angeles) 8795 Sunset Blvd. W. Hollywood|Spago (Los Angeles)|W. Hollywood|8795 Sunset Blvd.|Spago 1114 Horn Ave. Los Angeles|Spago|Los Angeles|1114 Horn Ave.
Nikolai's Roof 255 Courtland St. Atlanta|Nikolai's Roof|Atlanta|255 Courtland St.|Nikolai's Roof 255 Courtland St.  at Harris St.Atlanta|Nikolai's Roof|Atlanta|255 Courtland St.  at Harris St.
LuLu Restaurant-Bis-Cafe 816 Folsom St. SanFrancisco|LuLu Restaurant-Bis-Cafe|SanFrancisco|816 Folsom St.|LuLu 816 Folsom St. San Francisco|LuLu|San Francisco|816 Folsom St.
Chin's 3200 Las Vegas Blvd. S. Las Vegas|Chin's|S. Las Vegas|3200 Las Vegas Blvd.|Chin's 3200 Las Vegas Blvd. S Las Vegas|Chin's|S Las Vegas|3200 Las Vegas Blvd.
Mary Mac's Tea Room 224 Ponce de Leon Ave. Atlanta|Mary Mac's Tea Room|Atlanta|224 Ponce de Leon Ave.|Mary Mac's Tea Room 224 Ponce de Leon Ave. Atlanta|Mary Mac's Tea Room|Atlanta|224 Ponce de Leon Ave.
Cafe des Artistes 1 W. 67th St. New York City|Cafe des Artistes|New York City|1 W. 67th St.|Caf&eacute; des Artistes 1 W. 67th St. New York|Caf&eacute; des Artistes|New York|1 W. 67th St.
Katsu 1972 Hillhurst Ave. Los Feliz|Katsu|Los Feliz|1972 Hillhurst Ave.|Restaurant Katsu 1972 N. Hillhurst Ave.Los Angeles|Restaurant Katsu|Los Angeles|1972 N. Hillhurst Ave.
Postrio 545 Post St. San Francisco|Postrio|San Francisco|545 Post St.|Postrio 545 Post St. San Francisco|Postrio|San Francisco|545 Post St.
La Cote Basque 60 W. 55th St. New York City|La Cote Basque|New York City|60 W. 55th St.|La Cote Basque 60 W. 55th St.  between 5th and 6thAve. New York|La Cote Basque|New York|60 W. 55th St.  between 5th and 6thAve.
Bel-Air Hotel 701 Stone Canyon Rd. Bel Air|Bel-Air Hotel|Bel Air|701 Stone Canyon Rd.|Hotel Bel-Air 701 Stone Canyon Rd. Bel Air|Hotel Bel-Air|Bel Air|701 Stone Canyon Rd.
Cafe Bizou 14016 Ventura Blvd. Sherman Oaks|Cafe Bizou|Sherman Oaks|14016 Ventura Blvd.|Cafe Bizou 14016 Ventura Blvd. Sherman Oaks|Cafe Bizou|Sherman Oaks|14016 Ventura Blvd.
Rainbow Room 30 Rockefeller Plaza New York City|Rainbow Room|New York City|30 Rockefeller Plaza|Rainbow Room 30 Rockefeller Plaza New York|Rainbow Room|New York|30 Rockefeller Plaza
Four Seasons 99 E. 52nd St. New York City|Four Seasons|New York City|99 E. 52nd St.|Four Seasons Grill Room 99 E. 52nd St. New York|Four Seasons Grill Room|New York|99 E. 52nd St.
Tillerman  The 2245 E. Flamingo Rd. Las Vegas|Tillerman  The|Las Vegas|2245 E. Flamingo Rd.|Tillerman 2245 E. Flamingo Rd. Las Vegas|Tillerman|Las Vegas|2245 E. Flamingo Rd.
Aquavit 13 W. 54th St. New York City|Aquavit|New York City|13 W. 54th St.|Aquavit 13 W. 54th St. New York|Aquavit|New York|13 W. 54th St.
March 405 E. 58th St. New York City|March|New York City|405 E. 58th St.|March 405 E. 58th St. New York|March|New York|405 E. 58th St.
Bone's Restaurant 3130 Piedmont Rd. NE Atlanta|Bone's Restaurant|NE Atlanta|3130 Piedmont Rd.|Bone's 3130 Piedmont Road Atlanta|Bone's|Atlanta|3130 Piedmont Road
La Folie 2316 Polk St. San Francisco|La Folie|San Francisco|2316 Polk St.|La Folie 2316 Polk St. San Francisco|La Folie|San Francisco|2316 Polk St.
Felidia 243 E. 58th St. New York City|Felidia|New York City|243 E. 58th St.|Felidia 243 E. 58th St. New York|Felidia|New York|243 E. 58th St.
Philippe The Original 1001 N. Alameda St.Chinatown|Philippe The Original|Chinatown|1001 N. Alameda St.|Philippe's The Original 1001 N. Alameda St. LosAngeles|Philippe's The Original|LosAngeles|1001 N. Alameda St.
Uncle Nick's 747 Ninth Ave. New York City|Uncle Nick's|New York City|747 Ninth Ave.|Uncle Nick's 747 9th Ave.  between 50th and 51stSts. New York|Uncle Nick's|New York|747 9th Ave.  between 50th and 51stSts.
Buckhead Diner 3073 Piedmont Rd. Atlanta|Buckhead Diner|Atlanta|3073 Piedmont Rd.|Buckhead Diner 3073 Piedmont Road Atlanta|Buckhead Diner|Atlanta|3073 Piedmont Road
Fleur de Lys 777 Sutter St. San Francisco|Fleur de Lys|San Francisco|777 Sutter St.|Fleur de Lys 777 Sutter St. San Francisco|Fleur de Lys|San Francisco|777 Sutter St.
Palace Court 3570 Las Vegas Blvd. S. Las Vegas|Palace Court|S. Las Vegas|3570 Las Vegas Blvd.|Palace Court 3570 Las Vegas Blvd. S Las Vegas|Palace Court|S Las Vegas|3570 Las Vegas Blvd.
Granita 23725 W. Malibu Rd. Malibu|Granita|Malibu|23725 W.  Rd.|Granita 23725 W. Malibu Rd. Malibu|Granita|Malibu|23725 W.  Rd.
Georgia Grille 2290 Peachtree Rd. Atlanta|Georgia Grille|Atlanta|2290 Peachtree Rd.|Georgia Grille 2290 Peachtree Rd.  PeachtreeSquare Shopping Center Atlanta|Georgia Grille|PeachtreeSquare Shopping Center Atlanta|2290 Peachtree Rd.
Manhattan Ocean Club 57 W. 58th St. New York City|Manhattan Ocean Club|New York City|57 W. 58th St.|Manhattan Ocean Club 57 W. 58th St. New York|Manhattan Ocean Club|New York|57 W. 58th St.
Union Square Cafe 21 E. 16th St. New York City|Union Square Cafe|New York City|21 E. 16th St.|Union Square Cafe 21 E. 16th St. New York|Union Square Cafe|New York|21 E. 16th St.
Locanda Veneta 8638 W. Third St. Los Angeles|Locanda Veneta|Los Angeles|8638 W. Third St.|Locanda Veneta 3rd St. Los Angeles|Locanda Veneta|Los Angeles|3rd St.
Mesa Grill 102 Fifth Ave. New York City|Mesa Grill|New York City|102 Fifth Ave.|Mesa Grill 102 5th Ave.  between 15th and 16thSts. New York|Mesa Grill|New York|102 5th Ave.  between 15th and 16thSts.
Pisces 95 Ave. A New York City|Pisces|A New York City|95 Ave.|Pisces 95 Ave. A at 6th St. New York|Pisces|New York|95 Ave. A at 6th St.
Ritz-Carlton Cafe (Buckhead) 3434 Peachtree Rd. NE Atlanta|Ritz-Carlton Cafe (Buckhead)|NE Atlanta|3434 Peachtree Rd.|Caf&eacute; Ritz-Carlton Buckhead,3434 Peachtree Rd. Atlanta|Caf&eacute; Ritz-Carlton Buckhead,|Atlanta|3434 Peachtree Rd.
Rose Pistola 532 Columbus Ave. San Francisco|Rose Pistola|San Francisco|532 Columbus Ave.|Rose Pistola 532 Columbus Ave. San Francisco|Rose Pistola|San Francisco|532 Columbus Ave.
Fenix at the Argyle 8358 Sunset Blvd. W. Hollywood|Fenix at the Argyle|W. Hollywood|8358 Sunset Blvd.|Fenix 8358 Sunset Blvd. West Hollywood|Fenix|West Hollywood|8358 Sunset Blvd.
Picholine 35 W. 64th St. New York City|Picholine|New York City|35 W. 64th St.|Picholine 35 W. 64th St. New York|Picholine|New York|35 W. 64th St.
