original string|restaurant name|city name|address
Felidia 243 E. 58th St. New York|Felidia|New York|243 E. 58th St.
Felix 340 W. Broadway at Grand St. New York|Felix|New York|340 W. Broadway at Grand St.
Ferrier 29 E. 65th St. New York|Ferrier|New York|29 E. 65th St.
Fifty Seven Fifty Seven 57 E. 57th St. New York|Fifty Seven Fifty Seven|New York|57 E. 57th St.
Film Center Cafe 635 9th Ave.  between 44th and 45th Sts. New York|Film Center Cafe|New York|635 9th Ave.  between 44th and 45th Sts.
Fiorello's Roman Caf&eacute; 1900 Broadway  between 63rd and 64th Sts. New York|Fiorello's Roman Caf&eacute;|New York|1900 Broadway  between 63rd and 64th Sts.
Firehouse 522 Columbus Ave.  between 85th and 86th Sts. New York|Firehouse|New York|522 Columbus Ave.  between 85th and 86th Sts.
First 87 1st Ave.  between 5th and 6th Sts. New York|First|New York|87 1st Ave.  between 5th and 6th Sts.
Fishin Eddie 73 W. 71st St. New York|Fishin Eddie|New York|73 W. 71st St.
Fleur de Jour 348 E. 62nd St. New York|Fleur de Jour|New York|348 E. 62nd St.
Flowers 21 West 17th St.  between 5th and 6th Aves. New York|Flowers|New York|21 West 17th St.  between 5th and 6th Aves.
Follonico 6 W. 24th St. New York|Follonico|New York|6 W. 24th St.
Four Seasons Grill Room 99 E. 52nd St. New York|Four Seasons Grill Room|New York|99 E. 52nd St.
Fraunces Tavern 54 Pearl St. at Broad St. New York|Fraunces Tavern|New York|54 Pearl St. at Broad St.
French Roast 458 6th Ave. at 11th St. New York|French Roast|New York|458 6th Ave. at 11th St.
French Roast Caf&eacute; 2340 Broadway at 85th St. New York|French Roast Caf&eacute;|New York|2340 Broadway at 85th St.
Frico Bar 402 W. 43rd St.  off 9th Ave. New York|Frico Bar|New York|402 W. 43rd St.  off 9th Ave.
Fujiyama Mama 467 Columbus Ave.  between 82nd and 83rd Sts. New York|Fujiyama Mama|New York|467 Columbus Ave.  between 82nd and 83rd Sts.
Gabriela's 685 Amsterdam Ave. at 93rd St. New York|Gabriela's|New York|685 Amsterdam Ave. at 93rd St.
Gallagher's 228 W. 52nd St. New York|Gallagher's|New York|228 W. 52nd St.
Gianni's 15 Fulton St. New York|Gianni's|New York|15 Fulton St.
Girafe 208 E. 58th St.  between 2nd and 3rd Aves. New York|Girafe|New York|208 E. 58th St.  between 2nd and 3rd Aves.
Global 33 93 2nd Ave.  between 5th and 6th Sts. New York|Global|New York|33 93 2nd Ave.  between 5th and 6th Sts.
Golden Unicorn 18 E. Broadway at Catherine St. New York|Golden Unicorn|New York|18 E. Broadway at Catherine St.
Gotham Bar & Grill 12 E. 12th St. New York|Gotham Bar & Grill|New York|12 E. 12th St.
Gramercy Tavern 42 E. 20th St.  between Park Ave. S and Broadway New York|Gramercy Tavern|S and Broadway New York|42 E. 20th St.  between Park Ave.
Grand Ticino 228 Thompson St.  between W. 3rd and Bleecker Sts. New York|Grand Ticino|New York|228 Thompson St.  between W. 3rd and Bleecker Sts.
Halcyon 151 W. 54th St.  in the Rihga Royal Hotel New York|Halcyon|in the Rihga Royal Hotel New York|151 W. 54th St.
Hard Rock Cafe 221 W. 57th St. New York|Hard Rock Cafe|New York|221 W. 57th St.
Hi-Life Restaurant and Lounge 1340 1st Ave. at 72nd St. New York|Hi-Life Restaurant and Lounge|New York|1340 1st Ave. at 72nd St.
Home 20 Cornelia St.  between Bleecker and W. 4th St. New York|Home|New York|20 Cornelia St.  between Bleecker and W. 4th St.
Hudson River Club 4 World Financial Center New York|Hudson River Club|New York|4 World Financial Center
I Trulli 122 E. 27th St.  between Lexington and Park Aves. New York|I Trulli|New York|122 E. 27th St.  between Lexington and Park Aves.
Il Cortile 125 Mulberry St.  between Canal and Hester Sts. New York|Il Cortile|New York|125 Mulberry St.  between Canal and Hester Sts.
Il Nido 251 E. 53rd St. New York|Il Nido|New York|251 E. 53rd St.
Inca Grill 492 Broome St.  near W. Broadway New York|Inca Grill|Broadway New York|492 Broome St.  near W.
Indochine 430 Lafayette St.  between 4th St. and Astor Pl. New York|Indochine|New York|430 Lafayette St.  between 4th St. and Astor Pl.
Internet Cafe 82 E. 3rd St.  between 1st and 2nd Aves. New York|Internet Cafe|New York|82 E. 3rd St.  between 1st and 2nd Aves.
Ipanema 13 W. 46th St. New York|Ipanema|New York|13 W. 46th St.
Island Spice 402 W. 44th St. New York|Island Spice|New York|402 W. 44th St.
Jean Lafitte 68 W. 58th St. New York|Jean Lafitte|New York|68 W. 58th St.
Jewel of India 15 W. 44th St. New York|Jewel of India|New York|15 W. 44th St.
Jimmy Sung's 219 E. 44th St.  between 2nd and 3rd Aves. New York|Jimmy Sung's|New York|219 E. 44th St.  between 2nd and 3rd Aves.
Jo Jo 160 E. 64th St. New York|Jo Jo|New York|160 E. 64th St.
Joe Allen 326 W. 46th St. New York|Joe Allen|New York|326 W. 46th St.
Judson Grill 152 W. 52nd St. New York|Judson Grill|New York|152 W. 52nd St.
L'Absinthe 227 E. 67th St. New York|L'Absinthe|New York|227 E. 67th St.
L'Auberge 1191 1st Ave.  between 64th and 65th Sts. New York|L'Auberge|New York|1191 1st Ave.  between 64th and 65th Sts.
L'Auberge Du Midi 310 W. 4th St.  between W. 12th and Bank Sts. New York|L'Auberge Du Midi|New York|310 W. 4th St.  between W. 12th and Bank Sts.
L'Udo 432 Lafayette St.  near Astor Pl. New York|L'Udo|New York|432 Lafayette St.  near Astor Pl.
La Caravelle 33 W. 55th St. New York|La Caravelle|New York|33 W. 55th St.
La Cote Basque 60 W. 55th St.  between 5th and 6th Ave. New York|La Cote Basque|New York|60 W. 55th St.  between 5th and 6th Ave.
La Reserve 4 W. 49th St. New York|La Reserve|New York|4 W. 49th St.
Lanza Restaurant 168 1st Ave.  between 10th and 11th Sts. New York|Lanza Restaurant|New York|168 1st Ave.  between 10th and 11th Sts.
Lattanzi Ristorante 361 W. 46th St. New York|Lattanzi Ristorante|New York|361 W. 46th St.
Layla 211 W. Broadway at Franklin St. New York|Layla|New York|211 W. Broadway at Franklin St.
Le Bernardin 155 W. 51st St. New York|Le Bernardin|New York|155 W. 51st St.
Le Chantilly 106 E. 57th St. New York|Le Chantilly|New York|106 E. 57th St.
Le Colonial 149 E. 57th St. New York|Le Colonial|New York|149 E. 57th St.
Le Gamin 50 MacDougal St.  between Houston and Prince Sts. New York|Le Gamin|New York|50 MacDougal St.  between Houston and Prince Sts.
Le Jardin 25 Cleveland Pl.  near Spring St. New York|Le Jardin|New York|25 Cleveland Pl.  near Spring St.
Le Madri 168 W. 18th St. New York|Le Madri|New York|168 W. 18th St.
Le Marais 150 W. 46th St. New York|Le Marais|New York|150 W. 46th St.
Le P&eacute;rigord 405 E. 52nd St. New York|Le P&eacute;rigord|New York|405 E. 52nd St.
Le Select 507 Columbus Ave.  between 84th and 85th Sts. New York|Le Select|New York|507 Columbus Ave.  between 84th and 85th Sts.
Les C&eacute;l&eacute;brit&eacute;s 160 Central Park S New York|Les C&eacute;l&eacute;brit&eacute;s|New York|160 Central Park S
Les Halles 411 Park Ave. S  between 28th and 29th Sts. New York|Les Halles|New York|411 Park Ave. S  between 28th and 29th Sts.
Lespinasse 2 E. 55th St. New York|Lespinasse|New York|2 E. 55th St.
Lincoln Tavern 51 W. 64th St. New York|Lincoln Tavern|New York|51 W. 64th St.
Lola 30 West 22nd St.  between 5th and 6th Ave. New York|Lola|New York|30 West 22nd St.  between 5th and 6th Ave.
Lucky Strike 59 Grand St.  between Wooster St. and W. Broadway New York|Lucky Strike|Broadway New York|59 Grand St.  between Wooster St. and W.
Lut&egrave;ce 249 E. 50th St. New York|Lut&egrave;ce|New York|249 E. 50th St.
Mad Fish 2182 Broadway  between 77th and 78th Sts. New York|Mad Fish|New York|2182 Broadway  between 77th and 78th Sts.
Main Street 446 Columbus Ave.  between 81st and 82nd Sts. New York|Main Street|New York|446 Columbus Ave.  between 81st and 82nd Sts.
Mangia e Bevi 800 9th Ave. at 53rd St. New York|Mangia e Bevi|New York|800 9th Ave. at 53rd St.
Manhattan Caf&eacute; 1161 1st Ave.  between 63rd and 64th Sts. New York|Manhattan Caf&eacute;|New York|1161 1st Ave.  between 63rd and 64th Sts.
Manhattan Ocean Club 57 W. 58th St. New York|Manhattan Ocean Club|New York|57 W. 58th St.
Manila Garden 325 E. 14th St.  between 1st and 2nd Aves. New York|Manila Garden|New York|325 E. 14th St.  between 1st and 2nd Aves.
March 405 E. 58th St. New York|March|New York|405 E. 58th St.
Marichu 342 E. 46th St.  between 1st and 2nd Aves. New York|Marichu|New York|342 E. 46th St.  between 1st and 2nd Aves.
Marquet Patisserie 15 E. 12th St.  between 5th Ave. and University Pl. New York|Marquet Patisserie|New York|15 E. 12th St.  between 5th Ave. and University Pl.
Match 160 Mercer St.  between Houston and Prince Sts. New York|Match|New York|160 Mercer St.  between Houston and Prince Sts.
Matthew's 1030 3rd Ave. at 61st St. New York|Matthew's|New York|1030 3rd Ave. at 61st St.
Mavalli Palace 46 E. 29th St. New York|Mavalli Palace|New York|46 E. 29th St.
Mesa Grill 102 5th Ave.  between 15th and 16th Sts. New York|Mesa Grill|New York|102 5th Ave.  between 15th and 16th Sts.
Mi Cocina 57 Jane St.  off Hudson St. New York|Mi Cocina|New York|57 Jane St.  off Hudson St.
Milan Caf&eacute; and Coffee Bar 120 W. 23rd St. New York|Milan Caf&eacute; and Coffee Bar|New York|120 W. 23rd St.
Monkey Bar 60 E. 54th St. New York|Monkey Bar|New York|60 E. 54th St.
Montien 1134 1st Ave.   between 62nd and 63rd Sts. New York|Montien|New York|1134 1st Ave.   between 62nd and 63rd Sts.
Montrachet 239 W. Broadway  between Walker and White Sts. New York|Montrachet|New York|239 W. Broadway  between Walker and White Sts.
Morton's 551 5th Ave. at 45th St. New York|Morton's|New York|551 5th Ave. at 45th St.
Motown Cafe 104 W. 57th St.  near 6th Ave. New York|Motown Cafe|New York|104 W. 57th St.  near 6th Ave.
New York Kom Tang Soot Bul House 32 W. 32nd St. New York|New York Kom Tang Soot Bul House|New York|32 W. 32nd St.
New York Noodletown 28 1/2 Bowery at Bayard St. New York|New York Noodletown|New York|28 1/2 Bowery at Bayard St.
Newsbar 2 W. 19th St. New York|Newsbar|New York|2 W. 19th St.
Oceana 55 E. 54th St. New York|Oceana|New York|55 E. 54th St.
Odeon 145 W. Broadway at Thomas St. New York|Odeon|New York|145 W. Broadway at Thomas St.
Orso 322 W. 46th St. New York|Orso|New York|322 W. 46th St.
Osteria al Droge 142 W. 44th St. New York|Osteria al Droge|New York|142 W. 44th St.
Otabe 68 E. 56th St. New York|Otabe|New York|68 E. 56th St.
